Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
S.Ohtani o1.5 Total Bases,MJCLocks,106,1.0,S.Ohtani,2.06,1.06,Los Angeles Dodgers,Baltimore Orioles,1.0,0.5555555555555556,1,0.6,1,0.5,0
M.Lorenzen u3.5 Ks,PlayerPropSavant,-115,1.15,M.Lorenzen,2.1499999999999995,0.9999999999999996,Kansas City Royals,Cleveland Guardians,0.0,0.5,0,0.5,0,0.5,0
G.Cole u6.5 Ks,LinesAtLunch,-130,1.3,G.Cole,2.3,0.9999999999999998,New York Yankees,Washington Nationals,0.0,0.5,0,0.4,0,0.5,0
Y.Rodriguez o3.5 Hits Allowed,SBK5065,-157,1.0,Y.Rodriguez,1.6369426751592355,0.6369426751592355,Toronto Blue Jays,Boston Red Sox,0.0,0.6153846153846154,1,0.8,1,0.6,1
D.Cease u2.5 Earned Runs,Markus_Markets,-140,1.0,D.Cease,1.7142857142857144,0.7142857142857144,San Diego Padres,St Louis Cardinals,0.0,0.5925925925925926,1,0.8,1,0.7,1
M.Amaya o0.5 hits+runs+rbi,Rotowire,100,0.75,M.Amaya,1.5,0.75,Chicago Cubs,Pittsburgh Pirates,0.0,0.6436781609195402,1,0.8,1,0.7,1
J.Tena o0.5 hits+runs+rbi,Rotowire,100,0.75,J.Tena,1.5,0.75,Washington Nationals,New York Yankees,1.0,0.6666666666666666,1,0.4,0,0.7,1
J.Flaherty o5.5 Ks,Markus_Markets,-150,1.0,J.Flaherty,1.6666666666666663,0.6666666666666665,Los Angeles Dodgers,Baltimore Orioles,1.0,0.75,1,0.75,1,0.75,1
J.Steele o6.5 Ks,sirlockselot_,120,2.0,J.Steele,4.4,2.4000000000000004,Chicago Cubs,Pittsburgh Pirates,0.0,0.45,0,0.6,1,0.5,0
A.Judge o1.5 total bases,Rotowire,100,0.75,A.Judge,1.5,0.75,New York Yankees,Washington Nationals,0.0,0.5307692307692308,1,0.6,1,0.7,1
B.Rooker o1.5 hits+runs+rbi,Rotowire,100,0.75,B.Rooker,1.5,0.75,Oakland Athletics,Cincinnati Reds,0.0,0.5701754385964912,1,0.6,1,0.5,0
A.Nola u18.5 Outs,SBK5065,-160,1.0,A.Nola,1.625,0.625,Philadelphia Phillies,Houston Astros,1.0,0.6,1,0.8,1,0.7,1
B.Pfaadt u6.5 Ks,charliedisturco,-130,1.3,B.Pfaadt,2.3,0.9999999999999998,Arizona Diamondbacks,New York Mets,1.0,0.64,1,0.8,1,0.7,1
